문장,극성
이미 농축산물 가격이 고공행진을 벌이는 상황이라 정부 대책이 얼마나 효과를 거둘지는 미지수다.,미정
HDMI 포트를 통해 대형 TV에 연결해 내장된 20가지의 네오지오 오리지널 게임을 즐길 수 있으며 추가 게임도 주기적으로 공개될 예정이다.,미정
"이렇게 면역력이 약한 상태에서 암 수술이나 항암치료, 방사선치료를 받게 되면 면역력 회복에 어려움을 겪을 수 있다.",미정
그런데 필자만의 편견일까?,미정
국내 유통공룡들은 어떤 생존 전략을 준비하고 있나.,미정
때마침 미국과 중국 간 2단계 무역 협상이 진행 중이다.,미정
산속에서 호환을 피할 수는 없을까.,미정
"글로벌 진출 일환으로 싱가포르 굴지의 메디컬그룹 JYSK그룹과 글로벌 진출을 위한 업무협약을 맺고, 싱가포르 비만 클리닉 1호점을 비롯해 아세안 국가에 100개 이상 클리닉을 개소할 계획이다.",미정
어떤 스윙일까요.,미정
출품을 희망하는 직업계고 학생들은 5인 이내의 팀을 구성해 온라인으로 참가 신청할 수 있다.,미정
3년 만에 다보스를 찾은 정의선 현대차 수석부회장은 기술혁신과 비용절감을 통해 수소사회를 앞당기겠다는 방안을 구상 중이다.,미정
두 사람이 주고받은 시가 한 질이나 됐으며 당시 공경대부도 백대붕의 문장에 감탄해 그를 함부로 대하지 못했다고 한다.,미정
송 큐레이터는 지인들과 작품 소유 정리에 실패한 것일까?,미정
＂확진된 영아 옷과 침구류는 재사용이 가능한가?＂,미정
"AI가 바리스타와 바둑기사가 되어 곳곳에서 사람을 밀어내는 지금, ＇인간다움＇이란 어디에 있을까.",미정
그래도 막상 그곳을 떠올린다면 다르지 않을까.,미정
＂확진된 산모와 신생아가 같은 방에서 지내도 되나?＂,미정
"국내 민간항공사 가운데, 현재까지는 대한항공만 B787-9 10대를 도입하여 운용 중이며, 추가 주문한 10대 외에 B787-10도 20대 도입 예정으로 국제선 장거리노선의 주력 기종으로 투입할 예정이다.",미정
경찰은 A씨가 남긴 메모 및 주변인 진술 등을 토대로 구체적 사건 경위를 파악 중이다.,미정
"＇코로나 팬데믹도 다 끝나가는 마당에, 이제 와서 마스크 마케팅을 왜 할까＇ 의문이 들 수도 있다.",미정
한국의 경우 콘솔 중심의 서구권 시장보다는 PC온라인게임이 주를 이뤘던 중국을 비롯한 아시아권 시장에서 성장한 탓도 크다.,미정
불안과 위험스러운 환경이 인간의 뇌로 하여금 편리함과 안전을 선택하게 만드는 미래 사회는 과연 어떠한 모습일까.,미정
첫 시즌에는 20만 달러 이상을 지원할 예정이다.,미정
지난 12일 교섭에서 결렬을 한 번 초래한 요인이기도 하고 자칫 이번 총파업과 유사한 노동계 투쟁의 불씨가 될 수 있다.,미정
세종시 아파트가 들썩거리는 이유는 무엇일까.,미정
그 이유는 뭘까.,미정
장인은 노점을 개설해 다른 이용자에게 아이템을 판매하고 재화를 획득할 수도 있다.,미정
이 극을 본 난 뒤 관객들은 대부분 비슷한 감상을 하지 않을까 싶다.,미정
대테러 작전이라지만 전쟁을 불사할 만큼 그렇게 긴박한 상황이었을까?,미정
"미국이 0.75%포인트 금리 인상에 나설 경우, 미국의 기준금리 상단이 1.75%가 돼 한국의 기준금리와 같아지게 된다.",미정
뿜을 때까지 기다리지 말고 촘촘히 대책을 마련해야 할 것이다.,미정
그럼 주목할 만한 종목으로는 어떤 것이 있을까요.,미정
근래 들어 동물 소재 영화가 범람하는 이유는 무엇일까.,미정
전장에 배치된 구조물을 파괴해 유불리를 전환할 수도 있다.,미정
볼일을 보고 꼭지만 누르면 그걸로 끝이라고 믿었는가.,미정
＇교외 경시대회＇로 분류돼 이를 쓸 경우 오히려 불이익을 받을 수 있다.,미정
"핵심적인 추진과제로 민간사업 부문 경유차 퇴출 유도, 시민과 함께 ＇경유차 안 사고 안타기＇ 운동 전개, 경유차 감축을 위한 제도개선 정책을 과감하게 추진한다는 계획이다.",미정
"둘째, 콘택트렌즈도 너무 오래 쓰면 안구건조증의 원인이 될 수 있다.",미정
그런데 현실은 어떨까?,미정
＂모유 수유로 영아에게 코로나가 전염될 위험은?＂,미정
코로나가 장기화하면서 자동차 정비와 점검 방법도 변화가 예상된다.,미정
치료 시기를 놓치면 증상이 점차 악화할뿐더러 심한 경우 실명으로 이어질 수 있다.,미정
PC나 스마트폰이 버벅일 때 어떻게 하는가?,미정
＂환자 입장에서 편의성이나 안전성 등은 어떤가?＂,미정
한 호남권 과학고 교장은 ＂5~6년 전까지는 입학생 100명 중 10명가량이 매우 뛰어난 실력을 보였다＂며 ＂하지만 최근에는 그 비율이 100명 중 5명 정도로 줄어든 것 같다＂고 전했다.,미정
정 대표는 ＂세계적으로 사망률이 높은 만성질환인 뇌졸중에 대한 예방제 외에 삶의 질을 높여 주는 치매·알츠하이머 치료제 연구에도 성과를 높이겠다＂고 말했다.,미정
"특히, 소나기가 내리는 지역에선 돌풍과 함께 천둥·번개가 치고 중부내륙 지역을 중심으로 우박이 떨어지는 곳이 있겠다.",미정
"현재는 125명의 대표자 학생들이 활동하고 있으며, 300명까지 그 숫자가 점차 늘어날 것이다.",미정
"이용자는 다른 세계 명마들의 이름과 영혼을 이어받아 꼬리와 귀, 초인적인 주력을 가진 ＇우마무스메＇와 함께 이들을 트레이닝하는 교육 기관 ＇트레센 학원＇의 신인 트레이너의 역할을 맡아 많은 ＇우마무스메＇의 목표인 ＇트윙클 시리즈＇에 활약하기 위해 고군분투하는 이야기를 경험할 수 있다.",미정
그렇다면 서울·수도권 여러 지역 중 눈여겨볼 만한 곳은 어디일까.,미정
그렇다면 조선 최고의 명문가는 어딜까.,미정
유치가 썩어 충치가 되면 신경이 이어진 영구치 씨앗에 전이될 수 있다.,미정
발표는 설 연휴 전후가 될 수 있다.,미정
이들 두 ESL 프로 투어 외에도 아마추어 선수 등을 위한 주간 ESL 오픈컵이 진행될 예정이다.,미정
"7월에는 인천-바르셀로나 노선, 인천-이스탄불 노선 운항에 나선다.",미정
내부에서 중량감 있는 인사를 찾지 못하면 외부 낙하산이 올 수도 있다.,미정
"건강의 핵심 키워드가 심장에서 뇌로 옮겨오고, 인간 의식의 기전을 밝히려는 뇌과학이 인류과학의 정점으로 주목받는 때이다.",미정
백 교수는 ＂국내에서는 전무하다시피 LP지분 세컨더리 시장이 본격 가동되고 중소형 M&A 시장이 활발해질 수 있게 세제 혜택이 뒷받침된다면 제2벤처붐이 지속될 수 있을 것＂이라고 내다봤다.,미정
＂산모나 신생아 치료는?＂,미정
"올해는 동승 가능 지역과 시간 확장 외에도, 축적되는 데이터를 분석해 승객에게 최적화된 맞춤형 탑승 형태를 추천하는 기술을 고도화할 예정이다.",미정
지난 12월 스팀에 얼리 엑세스 출시된 이후 스팀이 선정한 ＇2019 최고 출시작＇으로 선정된 바 있으며 올해 1분기 내에 정식 출시할 예정이다.,미정
＂5G와 인공지능의 진화가 가져올 미래는 어떤 모습일까.＂,미정
이상문학상의 올해 작품집이 무사히 출간될지는 미지수다.,미정
까마득 잊고 살았던 걸까.,미정
＇양식장＇에서 스시집에서 사용할 물고기를 기를 수 있고 미션 수행 실패 시 잃은 물고기를 어느 정도 회복할 수 있다.,미정
"LCH 개발사업은 해외 도입 기체들뿐인 국내 민관 헬기를 대체 목적의 소형 민수헬기를 개발사업으로, LAH와 같은 플랫폼을 기반으로 승객 운송, 탐색구조, 응급의료, 치안유지, 화재진압 등에 운용할 수 있는 다목적 기체로 개발 중이며, 2018년 초도비행을 거쳐 2021년 개발 완료 예정이다.",미정
대검의 청구에 따라 법무부가 감찰위원회와 징계위원회를 거쳐 최종 징계 수위를 결정하게 된다.,미정
현재 제품 사진을 등록하면 템플릿이 매칭되도록 하는 인공지능 자동 추천 솔루션 개발 중이다.,미정
＂새로 개발된 코로나19 검사법은?＂,미정
"＇휴식＇, ＇외출＇, ＇양호실＇을 선택하거나 육성 과정에서 적성의 ＇스킬＇을 획득할 수도 있다.",미정
이 세균이 충치나 잇몸 염증을 유발해 치주질환을 일으킬 수도 있다.,미정
"거품 붕괴를 촉발하는 것은 중국 우한의 바이러스일 수도 있고, 재집권을 노리는 도널드 트럼프 미국 대통령의 변덕일 수도 있다.",미정
"즉, 3% 정도 지지를 받은 정당은 득표만큼 의석을 가져가지 못하는 반면, 오히려 지지율이 미미한 정당이 의석을 가져가는 현상이 발생할 수 있다.",미정
＂코로나19로 확진된 영아도 마스크를 착용해야 하나?＂,미정
해외서는 한국 게임에 대한 규제 명분으로 활용할 수 있다.,미정
"해탈이 뭐라고, 그 순간을 경험하겠다며 평생을 수행하는 사람들도 수두룩한 세상에 6시간 걸으며 그 희열과 공허함을 느낄 수 있다면, 일생에 그보다 더 좋은 선물이 또 있을까 싶다.",미정
경찰은 목격자 등을 상대로 사고 경위를 조사 중이다.,미정
"참고로 미국의 차세대 군용 헬기 개발은 각 체급별 플랫폼을 기반으로 공격, 정찰, 수송, 의무후송, 소해, 탐색구조 등 단일 플랫폼으로 모든 임무가 가능한 기종으로 개발 계획을 진행 중이다.",미정
＂호남과 강서에 한재가 들었으니 상을 마련해 곡식을 저장하고 있는 집들에 권유하도록 하십시오.＂,미정
게임의 스토리를 진행할수록 각 캐릭터에게 영감을 준 실존 경주마의 특성과 성격을 잘 고증하는 세계관도 확인할 수 있다.,미정
이를 위해 공군은 2022년까지 기존 C-130의 성능개량과 함께 장거리 공수능력 확보를 위해 보잉 C-17과 에어버스 A400M 같은 대형 기종을 도입할 예정이다.,미정
"해상에서 펼쳐지는 함선간의 전투를 그린 모바일 어드벤처 RPG ＇가디언 프로젝트＇와 일본 유명 게임을 소재로 제작된 여성향 게임 ＇검, 시간을 긋다＇, 방치형 모바일 RPG ＇방치학개론＇을 상반기에 출시한다는 계획이다.",미정
＂대사이자 경험이 많은 멘토로 말씀을 드리자면 실패 없는 창조와 혁신은 없다는 것입니다.＂,미정
알고리즘 스테이블 코인의 특성상 가격 고정이 무너졌다가 다시 복구하는 흐름은 언제든 생겨날 수 있다.,미정
FORT는 총 10억개가 공급되며 보유자는 재단의 거버넌스 투표에 참여할 수 있다.,미정
＂임신부가 감염되면 임신 경과에 어떤 영향을 미치나?＂,미정
그렇다면 국회의원은 지역구의 민원 창구라는 말일까?,미정
투자가 성사됐더라면 올해 토론토 블루제이스로 이적한 류현진 선수가 LA 다저스에 잔류해 프랜차이즈 스타로 자리매김했을지도 모른다.,미정
최근 노동정책과 판결의 빠른 변화로 기업 입장에서는 슬기롭게 대처할 수 있는 방안을 고민 중이다.,미정
그렇다면 차천로는 과연 어떤 비석을 두고 이런 말을 했던 걸까.,미정
＂향후 국내 보급 계획은?＂,미정
"게임사는 오픈 마켓 형태의 전용 플랫폼인 ＇게임더하기 플랫폼＇에서 컨설팅, 마케팅, 더빙, 번역, 테스트 서비스, 인프라 등 필요한 해외진출 지원 서비스를 직접 검색 및 조회해 사용할 수 있다.",미정
4일 밤 북쪽 밤하늘에서 무수한 유성우와 조우할 수 있을까.,미정
"＂네트워크를 업그레이드할 때마다, 새 시즌이 될 때마다 고객에게도 또 다른 서비스를 드려야 하지 않을까요?＂",미정
독일 출신 베네딕토 16세와 아르헨티나 출신 프란치스코 교황 사이엔 어떤 일이 있었을까.,미정
＂혈액방사선조사기란 무엇인가?＂,미정
가뜩이나 줄어든 게임산업에 대한 투자도 더 줄어들 수 있다.,미정
＂＇디지털 미디어렙＇을 넘어 ＇넘버원 디지털 마케팅 플랫폼 기업＇으로 도약할 것이다.＂,미정
"병원에 전달된 후원금은 방호복, 마스크, 손세정제 등의 부족으로 어려움을 겪고 있는 현장 의료진들의 방역 물품을 지원하는 데 우선적으로 쓰이며 환자 치료를 위한 의료 기기 구비 및 확산 방지를 위해 노력하는 의료진 활동 등에 사용될 예정이다.",미정
그 아름다운 풍광이 눈앞에 있는데 어찌 속세를 잊고 수행에 정진할 수 있을까 싶다.,미정
과연 공주와 단종의 유복자는 관노의 삶을 살았을까.,미정
항암치료 중 면역력을 높여 암세포를 사멸하도록 돕는 한의학 면역치료를 병행하면 암의 전이와 재발 확률을 낮출 수 있다.,미정
다른 쪽에 전시된 친환경 데이터센터 솔루션 부스에선 단순히 냉각수를 활용해왔던 기존 시스템보다 50% 에너지 절감 효과를 볼 수 있다고 했다.,미정
국가의 미래가 좌우될 만큼 중요한 자리에 자신이 나서서 일하겠다고 나선 사람들은 누구일까.,미정
토론토 블루제이스 1선발로 2020년 메이저리그를 시작하는 류현진의 올해 성적표는 어떨까.,미정
그런데 과연 푸드테크협의회에서 대기업과 스타트업 간 협력이 가능할까.,미정
그렇다면 조선군은 형편없는 겁쟁이였을까?,미정
"장마와 태풍, 여름이라는 계절적 요인으로 승용차 이용률도 증가하여 추위가 오면 점검을 미뤘던 고장이 증가할 것으로 예상된다.",미정
전투 중 한 명을 뒤로 보내 적의 후방을 교란하거나 갑작스러운 전체 돌진으로 전세를 역전할 수 있다.,미정
바이러스는 어디로 튈지 모른다.,미정
"검사징계법 24조에 따르면 징계 사유와 관련해 공소가 제기된 경우 사건이 완결될 때까지 징계 심의가 정지되지만, 징계 사유에 대한 명백한 증명자료가 있는 경우 징계심의를 진행할 수 있다.",미정
여기에 한정된 코스트 내에서 별도 능력 ＇렙톤＇을 착용해 전략을 고도화할 수 있다.,미정
한일 관광산업이 직면한 문제의 해법을 한일 협력에서 찾아보는 것은 어떨까.,미정
17일 저녁 경기남부와 충청권을 중심으로 소나기가 내리는 곳이 있겠다.,미정
＇국보 1호＇ 숭례문 현판은 과연 누가 썼을까?,미정
"애써 오를 만한 산은 아니지만, 일생에 한 번은 가봐야 할 수행의 산길이라 할 수 있다.",미정
칠판에 적기 전에 수첩으로 먼저 확인또한 대표자 학생 중에 몇몇은 곧 수첩을 하나씩 지급받을 예정이다.,미정
특히 논란이 큰 것은 어떤 경우를 ＇대폭적인 업무 증가＇로 볼 수 있는지다.,미정
이날 경북 내륙지방을 중심으로 낮 기온이 오르면서 후텁지근한 날씨가 이어지겠다.,미정
남자와 여자는 친구가 될 수 있을까?,미정
"공군의 태평양 횡단 직항 비행은 처음으로, 이번 방미 비행을 통해 조종사들은 장거리 항법훈련을 경험할 수 있어 좋으며, 미 공군 기지 무료 사용과 워싱턴을 가기 위해 대한항공 인천~워싱턴 덜레스 항공편을 왕복 이용하는 비용보다 경제적으로 예산절감효과도 기대된다.",미정
＂기존에 설치된 제품과의 차이점은?＂,미정
강원 내륙에도 짙은 안개가 끼는 곳이 있겠다.,미정
그러면 그중에서 가장 효험이 좋았던 온천은 어디일까.,미정
유독 사망자가 중국에서만 나오는 이유가 뭘까?,미정
"우연이었을 수도 있겠지만, 모국 작품의 역사상 오스카 첫 수상 이후 멘트를 구하는 기자와 그해 아카데미에서 최다 수상작이 나온 나라의 기자를 대하는 태도가 달라졌는지도 모른다.",미정
e스포츠적인 측면을 강화해 리그에 참여하지 않는 이용자들도 함께 즐길 수 있는 구조를 만든다는 계획이다.,미정
이 기술이 구현되면 배드민턴을 배우는 사람들이 제대로 셔틀콕을 쳤는지 스스로 점검이 가능한 시스템이 만들어진다.,미정
문제는 ＇영재를 범재로 만들기＇ 교육의 폐해가 저출산으로 더욱 심화될 수 있다는 것이다.,미정
"기준금리 격차가 거의 없거나 미국의 기준금리가 더 높은 상태로 역전하는 상황이 발생할 경우, 외국인 투자자의 자금 유출과 함께 원화 가치가 더 하락할 수 있다.",미정
"제주항공은 지난 5월부터 인천~괌 노선 운항횟수를 주 2회에서 주 4회로 늘렸고, 오는 6월24일부터는 부산~싱가포르 노선 운항을 재개한다.",미정
"기능성 뿐 아니라 심미성도 고루 갖추고 있는 디자인 패널이라는 평가 속에 기존 건축외장재와는 달리 기술 특허와 디자인 특허를 출원한 상황이며, 현재 국제 특허 출원도 준비 중이다.",미정
"또한, KC-330은 오는 14일 개최되는 한미 안보협의회의 참석하는 우리 대표단을 태우고 태평양을 건너갈 예정이다.",미정
"과연 지금 한국의 기업, 사회, 국가는 어느 쪽에 가까울까?",미정
"＇시베리아 역병＇의 사례처럼 우리가 이미 알고 있던 감염병, 혹은 신종 감염병이 동물을 매개로, 혹은 직접 접촉을 통해 전 세계로 확산할 수 있습니다.",미정
팬덤이 계속 유지가 될 수 있도록 단순한 등기 권리증 역할을 넘어 NFT 소유자들을 위한 혜택을 만들어가는 것도 중요하다.,미정
"16일 기상청에 따르면 17일 늦은 오후부터 밤 사이 경기남부와 강원영서남부, 충청권, 경북서부에 돌풍과 천둥·번개를 동반한 소나기가 오는 곳이 있겠다.",미정
새로운 ＇ESL 프로 투어 스타크래프트2＇는 기존 ＇스타크래프트2 월드 챔피언십 시리즈＇를 계승해 네 개 이상의 대륙에서 펼쳐질 예정이다.,미정
"부트캠프에서는 게임 개발, 디자인, 비즈니스 개발, 유저 확보 및 수익화, 게임 테스팅 워크샵, 리더십 트레이닝 등 다양한 세션이 진행될 예정이다.",미정
그곳에도 골목은 있을까?,미정
아직은 이스포츠에 있어 전반적인 로드맵을 그리는 수준으로 향후 이스포츠에 적합한 게임들이 갈라게임즈를 통해 계속 공개될 것이다.,미정
＇기생충＇은 각본상 외에도 오스카 5개 부문에 후보로 이름을 올렸으며 현재 시상식이 진행 중이다.,미정
"금요일인 17일은 전국에 구름이 많고 밤부터 차차 흐려지겠으며, 낮부터 밤 사이 서울과 경기 남부, 강원 중·남부 내륙, 충청권 내륙, 전북 동부, 전남 북부 내륙, 경상 서부 내륙에 소나기가 오는 곳이 있겠다.",미정
특히 장인 랭킹을 통해 다른 이들이 만들 수 없는 아이템을 제작하거나 해당 서버에서만 가능한 아이템 제작을 맡을 수도 있다.,미정
"KF-X의 운용 주체인 공군은 10월 1일부터 오는 30일까지 ＇한국형 전투기 KF-X 명칭 공모전＇을 통해 공모된 작품 중에 명칭의 상징성, 호칭 용이성, 의미부여 등을 고려하여 심사해 공식 명칭으로 사용할 계획이다.",미정
반도체 업체 넥스트칩이 내달 1일 코스닥 상장을 위해 16일부터 이틀 간 기관투자자 대상 수요예측을 진행한다.,미정
핵무기로 세상을 위협하는 북한이 가장 두려워하는 것이 뭘까?,미정
공짜로 돈을 나눠주겠다는 데 반대할 도민이 과연 있을까.,미정
"전투기에 장착되는 다양한 유도무기 중에 아군의 피해 없이 원거리에서 지상에 있는 적의 전략 목표물을 타격하는 유도무기인 장거리 공대지유도탄은 F-15K의 경우 1발에 20억 원이 넘는 독일 타우러스 시스템즈의 KEPD 350을 200여 발을 국외 도입하였으나, KF-21은 블럭1과 블럭2 기체 모두 양산 일정과 전력화 시기 등을 전반적으로 고려하여 국방과학연구소를 중심으로 국내방산업체가 개발중인 한국형 장거리공대지유도탄이 탑재될 예정이다.",미정
"5월에는 인천-프랑크푸르트 노선을 5월28일부터 주 4회에서 주 5회로 증편하고, 인천-런던 노선 역시 5월30일부터 주 2회에서 주 3회로 증편한다.",미정
